iata_code,lat,lon
LON,51.5,-0.17
MOW,55.75,37.7
NYC,40.71,-74.01
PAR,48.85,2.35
IST,41.01,28.95
DXB,25.07,55.17
CHI,41.85,-87.65
TYO,35.69,139.69
ATL,33.75,-84.39
SAO,-23.55,-46.64
LAX,34.05,-118.24
BKK,13.75,100.5
ORD,41.98,-87.9
SYD,-33.95,151.18
DFW,32.78,-96.81
SHA,31.22,121.46
BJS,39.91,116.4
LHR,51.48,-0.46
JKT,-6.27,106.9
SEA,47.61,-122.33
PEK,40.08,116.58
YTO,43.7,-79.42
CDG,49.01,2.55
WAS,38.9,-77.04
HND,35.55,139.78
FTW,32.73,-97.32
FRA,50.12,8.68
DEN,39.74,-104.98
CGK,-6.13,106.66
YYZ,43.68,-79.61
MEL,-37.81,144.96
SEL,37.57,126.98
DME,55.41,37.91
AMS,52.31,4.76
BNE,-27.47,153.03
KUL,3.14,101.69
MEX,19.43,-99.13
JFK,40.64,-73.78
HOU,29.76,-95.36
HKG,22.31,113.93
SIN,1.29,103.85
BOG,4.63,-74.09
JNB,-26.2,28.04
ANC,61.17,-150.0
DEL,28.57,77.1
SFO,37.62,-122.37
PVG,31.14,121.81
MIA,25.77,-80.19
MAD,40.42,-3.7
BUE,-34.61,-58.38
ROM,41.89,12.51
PHX,33.45,-112.07
ICN,37.46,126.45
CLT,35.21,-80.94
SVO,55.97,37.41
GRU,-23.43,-46.48
MNL,14.6,120.98
IAH,29.99,-95.34
LAS,36.17,-115.14
MUC,48.14,11.58
ORL,28.53,-81.35
CAN,23.39,113.3
MSP,44.88,-93.22
LGW,51.16,-0.18
AKL,-37.01,174.79
BOM,19.07,72.88
MIL,45.46,9.19
DOH,25.26,51.57
FCO,41.79,12.25
OSL,59.91,10.75
STO,59.33,18.08
BCN,41.39,2.16
MCO,28.43,-81.31
EWR,40.74,-74.17
ZME,40.58,-74.32
JED,21.68,39.16
YVR,49.25,-123.12
TPE,25.05,121.53
ORY,48.73,2.36
BOS,42.36,-71.01
PER,-31.95,115.86
LIM,-12.04,-77.03
FLL,26.07,-80.15
CPH,55.62,12.66
NRT,35.76,140.39
DTT,42.33,-83.05
ARN,59.65,17.92
DTW,42.21,-83.35
OSA,34.69,135.5
SAW,40.9,29.31
AEP,-34.56,-58.42
THR,35.69,51.42
DMK,13.91,100.6
RIO,-22.9,-43.21
BRU,50.85,4.35
BER,52.52,13.41
KMG,25.04,102.72
VKO,55.59,37.26
CTU,30.58,103.95
SCL,-33.39,-70.79
PHL,39.95,-75.16
NBO,-1.28,36.82
YMQ,45.51,-73.59
YUL,45.46,-73.75
RUH,24.69,46.72
CGH,-23.63,-46.66
ZRH,47.45,8.56
XIY,34.45,108.75
SIA,34.26,108.93
ATH,37.98,23.72
LGA,40.78,-73.87
DUS,51.22,6.78
SZX,22.55,114.07
SGN,10.82,106.65
YYC,51.05,-114.09
MAN,53.48,-2.24
ADD,9.02,38.75
PTY,8.99,-79.52
PMI,39.55,2.73
SLC,40.79,-111.98
DUB,53.33,-6.25
VIE,48.12,16.56
AUH,24.47,54.37
CKG,29.56,106.55
LIS,38.72,-9.13
STN,51.88,0.24
LED,59.8,30.26
PPT,-17.54,-149.57
BSB,-15.87,-47.92
HNL,21.32,-157.93
DPS,-8.75,115.17
BET,60.78,-161.84
BWI,39.18,-76.67
SUB,-7.38,112.79
CUN,21.04,-86.88
IAD,38.94,-77.46
POM,-9.44,147.22
HEL,60.17,24.94
HGH,30.23,120.43
PDX,45.59,-122.59
MXP,45.63,8.72
DCA,38.85,-77.04
UPG,-5.14,119.42
TXL,52.56,13.29
BLR,13.2,77.71
CAI,30.12,31.41
MDW,41.79,-87.75
CPT,-33.96,18.6
TPA,27.98,-82.53
GIG,-22.8,-43.23
SAN,32.72,-117.16
FAI,64.84,-147.72
LOS,6.58,3.32
KIX,34.43,135.24
CCS,10.6,-67.0
CCU,22.56,88.36
TLV,32.08,34.78
AYT,36.9,30.8
URC,43.8,87.6
ADL,-34.94,138.53
SPK,43.07,141.35
HAN,21.22,105.81
FUK,33.6,130.42
VCP,-23.01,-47.13
ALG,36.75,3.04
MDE,6.25,-75.56
GVA,46.24,6.11
CTS,42.78,141.69
HAM,53.58,10.02
STL,38.63,-90.2
CGO,34.76,113.65
LTN,51.87,-0.37
YKS,62.03,129.73
CNS,-16.92,145.77
WUH,30.78,114.21
MAA,13.09,80.28
BHZ,-19.92,-43.94
HYD,17.38,78.46
CSX,28.2,112.97
XMN,24.48,118.08
NKG,31.74,118.86
CNF,-19.63,-43.97
YWG,49.88,-97.15
RGN,16.91,96.13
CMN,33.37,-7.59
CAS,33.59,-7.61
CJU,33.51,126.49
KWI,29.37,47.98
ESB,40.13,32.99
ANK,39.92,32.85
YEG,53.31,-113.58
YEA,53.57,-113.5
TAO,36.27,120.38
AGP,36.72,-4.42
OKA,26.34,127.8
TSN,39.14,117.18
WLG,-41.29,174.78
CHC,-43.53,172.63
MCT,23.6,58.29
EZE,-34.82,-58.54
HAK,20.05,110.34
GDL,20.67,-103.39
WAW,52.23,21.01
HRB,45.75,126.65
PRG,50.1,14.26
NAN,-17.8,177.42
ABV,9.06,7.5
DAL,32.85,-96.85
TCI,28.47,-16.25
GMP,37.56,126.79
NOU,-22.28,166.46
NCE,43.66,7.22
BHX,52.48,-1.9
SDU,-22.91,-43.16
HKT,8.11,98.32
BNA,36.17,-86.78
MHD,36.32,59.57
GLA,55.87,-4.26
EDI,55.95,-3.37
VLI,-17.7,168.32
REK,64.13,-21.95
OAK,37.8,-122.27
DAR,-6.88,39.2
ITM,34.79,135.44
CEB,10.31,123.98
LPA,28.1,-15.41
VCE,45.44,12.33
LYS,45.75,4.85
CGN,50.88,7.12
AUS,30.27,-97.74
SJU,18.47,-66.11
DLC,38.91,121.6
SJO,9.93,-84.08
YZF,62.46,-114.44
SJC,37.36,-121.93
MES,3.58,98.67
KNO,3.64,98.87
ALC,38.28,-0.56
KHI,24.91,67.16
IZM,38.41,27.14
ADB,38.29,27.16
SXF,52.38,13.52
KWE,26.58,106.72
STR,48.78,9.18
BUH,44.5,26.08
OTP,44.57,26.1
SYX,18.24,109.5
SIP,44.96,34.11
OVB,55.01,82.65
BGY,45.67,9.7
MTY,25.78,-100.11
MED,24.47,39.61
DAC,23.71,90.41
BUD,47.44,19.26
ALA,43.35,77.04
MSY,29.99,-90.26
NAS,25.05,-77.47
CMB,6.93,79.85
SHJ,25.36,55.4
YXL,50.07,-91.98
SHE,41.64,123.48
IEV,50.4,30.45
HIR,-9.43,160.05
MKC,39.1,-94.58
UIO,-0.23,-78.52
JNU,58.35,-134.58
YOW,45.41,-75.7
MCI,39.3,-94.71
GEA,-22.27,166.5
AER,43.45,39.96
SSA,-12.91,-38.33
DUR,-29.86,31.03
DMM,26.47,49.8
HAV,22.99,-82.41
OME,64.51,-165.45
MRS,43.44,5.21
RDU,35.88,-78.79
OOL,-28.16,153.5
BPN,-1.27,116.89
POA,-29.99,-51.17
BZE,17.5,-88.2
BAH,26.03,50.55
PIT,40.44,-80.0
TRW,1.33,172.98
NGO,35.18,136.91
SAC,38.51,-121.49
LAD,-8.86,13.23
SNA,33.68,-117.87
KTM,27.7,85.32
TLS,43.6,1.44
SMF,38.7,-121.59
KRT,15.59,32.55
LHW,36.06,103.84
TNA,36.67,117.0
WIL,-1.32,36.81
OPO,41.15,-8.61
REC,-8.13,-34.92
HET,40.81,111.65
